	code	name	image	n_additives	nutriscore	energy_100g	energy.from.fat_100g	fat_100g	saturated.fat_100g	monounsaturated.fat_100g	polyunsaturated.fat_100g	omega.3.fat_100g	omega.6.fat_100g	omega.9.fat_100g	trans.fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum.proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin.a_100g	beta.carotene_100g	vitamin.d_100g	vitamin.e_100g	vitamin.k_100g	vitamin.c_100g	vitamin.b1_100g	vitamin.b2_100g	vitamin.pp_100g	vitamin.b6_100g	vitamin.b9_100g	folates_100g	vitamin.b12_100g	biotin_100g	pantothenic.acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits.vegetables.nuts_100g	fruits.vegetables.nuts.estimate_100g	collagen.meat.protein.ratio_100g	cocoa_100g	chlorophyl_100g	carbon.footprint_100g	nutrition.score.fr_100g	nutrition.score.uk_100g	glycemic.index_100g	water.hardness_100g	choline_100g	phylloquinone_100g	beta.glucan_100g	inositol_100g	carnitine_100g
38992	3229820794822	Sablé sarrasin chocolat sans gluten et bio		7	c	1862	NA	16	3.2	NA	NA	NA	NA	NA	NA	NA	66	24	NA	NA	5.7	6.5	NA	NA	NA	0.5	0.196850393700787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	10	NA	NA	NA	NA	NA	NA	NA
39100	3230691101206	Véritable palet de Bretagne pur beurre	https://static.openfoodfacts.org/images/products/323/069/110/1206/front.13.200.jpg	3	e	2155	NA	26	17	NA	NA	NA	NA	NA	NA	NA	63	28	NA	NA	NA	5.9	NA	NA	NA	1.2	0.47244094488189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	27	NA	NA	NA	NA	NA	NA	NA
39840	3243610098648	Palet Pur Beurre		2	e	2155	NA	26	17	NA	NA	NA	NA	NA	NA	NA	63	28	NA	NA	NA	6	NA	NA	NA	1.2	0.47244094488189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	27	NA	NA	NA	NA	NA	NA	NA
40068	3245390021861	Biscuits sablés de Normandie	https://static.openfoodfacts.org/images/products/324/539/002/1861/front.26.200.jpg	0	e	2109	NA	24	16	NA	NA	NA	NA	NA	NA	NA	65	27	NA	NA	2.9	6.4	NA	NA	NA	0.3	0.118110236220472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	19	NA	NA	NA	NA	NA	NA	NA
40069	3245390021908	Galette du Cotentin pur beurre	https://static.openfoodfacts.org/images/products/324/539/002/1908/front.14.200.jpg	3	e	2030	NA	19	13	NA	NA	NA	NA	NA	NA	NA	71	26	NA	NA	1.8	6.2	NA	NA	NA	0.4	0.15748031496063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	21	NA	NA	NA	NA	NA	NA	NA
40178	3245390069054	Cookies tout choco		2	e	2071	NA	26	13	NA	NA	NA	NA	NA	NA	NA	58	32	NA	NA	3.5	5.5	NA	NA	NA	1.2	0.47244094488189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	25	NA	NA	NA	NA	NA	NA	NA
40211	3245390084422	Palets de Bretagne	https://static.openfoodfacts.org/images/products/324/539/008/4422/front.9.200.jpg	1	e	2213	NA	29	19	NA	NA	NA	NA	NA	NA	NA	60	20	NA	NA	1.5	6.2	NA	NA	NA	1.1	0.433070866141732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	23	NA	NA	NA	NA	NA	NA	NA
40212	3245390084453	Fines Galettes de Bretagne Spécialités de Pont-Aven	https://static.openfoodfacts.org/images/products/324/539/008/4453/front.6.200.jpg	0	e	2142	NA	25	17	NA	NA	NA	NA	NA	NA	NA	65	30	NA	NA	1.6	6	NA	NA	NA	0.9	0.354330708661417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	24	NA	NA	NA	NA	NA	NA	NA
40261	3245390114143	Cookies Pépites de Chocolat et Noix de Coco		0	e	2201	NA	32	20	NA	NA	NA	NA	NA	NA	NA	52	29	NA	NA	6	5.5	NA	NA	NA	0.95	0.374015748031496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	21	NA	NA	NA	NA	NA	NA	NA
40453	3245390206077	Sablés aux pommes à la crème fraîche d'Isigny AOP et au beurre	https://static.openfoodfacts.org/images/products/324/539/020/6077/front.10.200.jpg	3	e	2092	NA	24	16	NA	NA	NA	NA	NA	NA	NA	65	33	NA	NA	2	5	NA	NA	NA	0.4	0.15748031496063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	22	NA	NA	NA	NA	NA	NA	NA
