code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
0055369903011	applesnax au naturel		0	a	1	186		0	0								12.2	8.89			1.11	0.222				0	0	0																																									-5	-5							
0055742370348	Cranberries Dried and Sweetened	https://static.openfoodfacts.org/images/products/005/574/237/0348/front_en.4.400.jpg	0		3	544		0.5									33	26			2	0																																																							
0058084000058	Crispy Apple Chips (Original)	https://static.openfoodfacts.org/images/products/005/808/400/0058/front_en.3.400.jpg	0		1	1710		0									100	63.6			9.09	0.909																												0.00327																											
0060383157951	cerises Montmorency sûres		0	b	3	544		0	0									27			1	1				0	0	0	0.00012																			0.02		0.00036																			0	0							
0060383774844		https://static.openfoodfacts.org/images/products/006/038/377/4844/front_en.4.400.jpg	0	a		239		0.714	0								13.6	7.86			5	0.714				0	0	0	0					0.0107														0.0143		0.000771																			-9	-9							
00606516	Classic round tomatoes	https://static.openfoodfacts.org/images/products/00606516/front_en.4.400.jpg	0		1																																																																								
0064777379226	Canneberges Séchées		0	c	3	1255			0									55			5	0				0	0																																										3	3							
0065250005311	Petits Morceaux d'Ananas		0	a	1	293		0	0								17	16			1	1				0	0		0					0.021														0.02		0.00036																			-3	-3							
0065250029706	Pêches en dés		1	a	4	313		0	0						0	0	17.8	16.8			0.935	0.467				0.0119	0.00467		2.8e-05					0.0252														0.0187		0.000336																			-3	-3							
00670180	Sultanas	https://static.openfoodfacts.org/images/products/00670180/front_en.3.400.jpg	0	d		1251		0.5	0.1								69.4	69.4				2.7				0.05	0.0196850393700787																																										13	13							
