code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
3410280110844	Pain grillé nature		0	c	3	1619		4.8	0.4								73.7	9.4				10				0.89	0.350393700787402																																										4	4							
3410280116815	Pain de mie		8	c	4	1046		1.7	0.6								49.1	2.3				7.9				1.4	0.551181102362205																																										5	5							
3418011280705	Biscottes Artisanales		0	d		1544		7.7	6.6								62	4.9				11				1.5	0.590551181102362																																										17	17							
3418011280712	Biscottes artiAnales		0	d		1644		11	7								59	4.7				12				1.5	0.590551181102362																																										17	17							
3419280020047	La Baguette		0	b	3	1130		0.8	0.2								55.1	1			3.1	9.7				1.41	0.55511811023622																																										1	1							
3419280021464	Pain aux céréales		0		3																																																																								
3419390002070	Pain rustique	https://static.openfoodfacts.org/images/products/341/939/000/2070/front.13.400.jpg	0	b	3	1038		1.4	0.3								49	1.5			4.2	7				1.2	0.47244094488189																						0.146																				0	0							
3419390003534	Pain aux céréales	https://static.openfoodfacts.org/images/products/341/939/000/3534/front.15.400.jpg	0	a	3	1096		4.3	0.6								44	1.8			5.5	8.5				1.1	0.433070866141732																						0.179																				-3	-3							
3419390003541	Pain Campagne Bio	https://static.openfoodfacts.org/images/products/341/939/000/3541/front.9.400.jpg	0	b	3	1088		1.3	0.3								52	2.2			4.4	7.8				1.3	0.511811023622047																						0.143																				0	0							
3419390003619	Pain complet		0	a	3	1075		1.8	0.3								48	6.4			6.4	8.6				1.3	0.511811023622047																						0.172																				-1	-1							
3419390015049	Mes Pains à Dorer 2 Camusettes Campagne	https://static.openfoodfacts.org/images/products/341/939/001/5049/front.3.400.jpg	0	b	3	1146		1	0.2								56	2.3			4.1	8.2				1.39954	0.551																																										0	0							
3419390400302	Pain de mie nature		0	b	3	1222		6.6	0.8								50	7			2.9	6.6				1	0.393700787401575																																										1	1							
3419390400371	Mes pains à dorer	https://static.openfoodfacts.org/images/products/341/939/040/0371/front_en.27.400.jpg	0	a	1	1109		1.1	0.3								53	1.6			4.4	8.6				1.3	0.511811023622047																																										-1	-1							
3419390400807	Pain Epeautre l'Angelus		0	b	1	1140		1.4	0.2								55.4	2			4.7	8.2				1.57	0.618110236220472																																										0	0							
3419390402092	Pain Kamut au blé Khorasan	https://static.openfoodfacts.org/images/products/341/939/040/2092/front.15.400.jpg	0	a	3	1025		1.4	0.3								45	2.8			5.2	9.8				1.12	0.440944881889764																						0.219		0.07	0.0021				4.3e-05													-3	-3							
3419390403327	Pain de Mie Complet	https://static.openfoodfacts.org/images/products/341/939/040/3327/front.3.400.jpg	0	b	3	1201		7	0.9								47	7			4.4	6.9				1.3	0.511811023622047																																										1	1							
3419390404621	Pain Petit Épeautre		0	a	3	1063		2.1	0.3								48	1.5			4.8	8.3				1.3	0.511811023622047																																										-2	-2							
3419390404867	Le pavé Bio au Levain Doux	https://static.openfoodfacts.org/images/products/341/939/040/4867/front.22.400.jpg	0	b	3	946		0.3	0.2								47	3.7			2.5	6.8				1.2	0.47244094488189																																										1	1							
3419390404973	Pain &quot;Mini-boules Rustique&quot;		0	a	3	1109		1.1	0.3								53	1.6			4.4	8.6				1.3	0.511811023622047																																										-1	-1							
3419390405017	Boulot Campagne à cuire	https://static.openfoodfacts.org/images/products/341/939/040/5017/front.8.400.jpg	0	b		1100		1.3	0.3								52	2.2			4.4	7.8				1.3	0.511811023622047																																										0	0							
3419390405482	Pain de mie Nature Bio Tranché		0	b	3	1222		6.6	0.8								50	7			2.9	6.6				1	0.393700787401575																																										1	1							
3419390405628	Pain de mie complet		0	b		1209		7	0.9								47	7			4.4	6.9				1.3	0.511811023622047																																										1	1							
3419390407011	2 Pains Burger Gourmands Bio		0	b	3	1356		7.6	0.9								55	5.3			2.9	7.5				1.1	0.433070866141732																																										2	2							
3419390407912	Epicerie / Farines, Pains Et Tartines / Pain, Pain Précuit		0	b	3	1264		6.7	0.6								49	6.6			3	9.8				1	0.393700787401575																																										0	0							
3421557401091	Tartines Ki'Kroc	https://static.openfoodfacts.org/images/products/342/155/740/1091/front.4.400.jpg	0	a	3	1540		3	0.7								78	5			11	13.5				0.5842	0.23																																										-3	-3							
3421557401107	Tartines KIKROC sarrasin	https://static.openfoodfacts.org/images/products/342/155/740/1107/front.8.400.jpg	0	a	3	1544		2.8	0.5								71.4	2.6			5.1	12				0.52	0.204724409448819																						0.33	0.0045	0.2																		-4	-4							
