code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
0884912267177	Frosted Mixed Berry		2	a	4	1480		2.67	1								72.7	26			9.67	8.33				0.0254	0.01								239	0.000238	0.0132	78.3	7.6e-05				0.004			0.33			0.46	0.0157	0.0933	0.00325																	-1	-1							
0884912282736	Great grains- coconut almond crunch		0	c		1650		10.2	4.5								66.2	19.5			9	8.5				0.743	0.292		0.00102		1.23e-05				81.2	0.00148	0.0157	92.5	0.000181		7.4e-06					0.342		0	0.435	0.00657	0.122	0.00581																	10	10							
1013287767367	Extra Pépites 4 Noix		0	d	3	2059		24	9.4								59	19			5.2	7.3				0.75	0.295275590551181								0.00062	0.00078	0.009	0.00078	0.000112		1.4e-06									0.0053																			17	17							
10178072	Déliform nature		0	c	3	1573		0.7	0.2								82	18			5.8	7.4				1.11	0.437007874015748																																										6	6							
10908767	Special Flakes Chocolate	https://static.openfoodfacts.org/images/products/10908767/front.3.400.jpg	1	c	4	1716		6.7	3.8								73	16.5			4	11.5				0.55	0.216535433070866																																										9	9							
11189611	Müesli Classico Alla frutta		0		1																																																																								
11508366	Jordan's special muesli		0	a	3	707		9.2	2.6								59.3	15.4			8.7	9.4				0.03	0.0118110236220472	0																																									-3	-3							
11597070	muesli croustillant myrtilles baies de goji		2		4																																																																								
11915393	Biscotte Muesli et Pépites d'Abricot		1	a	4	1615		5.2	0.6								72	7.4			5.7	9.9				0.95	0.374015748031496	0																																									-1	-1							
12127877	Haferflocken	https://static.openfoodfacts.org/images/products/12127877/front_en.8.400.jpg	0	b		1566		7	1.3								58.7	0.7				13.5				0	0																																										0	0							
